ticker,name,shares,calls_oi,puts_oi,total_oi,ratio,iv,next_earnings
USA,Liberty All-Star Equity Fund,282593984.0,0,0,0,0.0,,2024-12-02
USAC,"USA Compression Partners, LP",116994000.0,1867,6132,7999,0.0068,0.5827,2024-08-06
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
A,"Agilent Technologies, Inc.",291760992.0,7256,6868,14124,0.0048,0.3553,2024-08-21
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
H,Hyatt Hotels Corporation,45179200.0,2951,3279,6230,0.0138,0.355,2024-08-06
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
P,"Pandora Media, Inc.",,0,0,0,,,N/A
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
Q,N/A,,0,0,0,,,N/A
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
R,"Ryder System, Inc.",43828800.0,1838,2525,4363,0.01,0.423,2024-07-25
USB,U.S. Bancorp,1560460032.0,103795,111785,215580,0.0138,0.3498,2024-10-16
S,"SentinelOne, Inc.",286660000.0,127565,52460,180025,0.0628,0.6313,2024-08-29
USFD,US Foods Holding Corp.,245867008.0,5078,20949,26027,0.0106,0.2967,2024-08-08
USM,United States Cellular Corporation,52972600.0,1170,1016,2186,0.0041,0.6205,2024-08-02
USNA,"USANA Health Sciences, Inc.",19050600.0,22,44,66,0.0003,0.5272,2024-07-23
USPH,"U.S. Physical Therapy, Inc.",15068100.0,25,104,129,0.0009,0.4916,2024-08-06
UTF,"Cohen & Steers Infrastructure Fund, Inc",96336000.0,0,0,0,0.0,,2024-09-03
UTI,"Universal Technical Institute, Inc.",53801500.0,524,475,999,0.0019,0.5495,2024-08-06
UTL,Unitil Corporation,16168500.0,95,14,109,0.0007,0.5089,N/A
UTZ,"Utz Brands, Inc.",81474000.0,2342,752,3094,0.0038,0.4477,N/A
UVE,"Universal Insurance Holdings, Inc.",28759100.0,584,3449,4033,0.014,0.7962,N/A
UVV,Universal Corporation,24651900.0,1053,631,1684,0.0068,0.5488,N/A
UWMC,UWM Holdings Corporation,95578000.0,52370,21595,73965,0.0774,0.6456,N/A
UZD,N/A,,0,0,0,,,N/A
UZE,N/A,,0,0,0,,,N/A
UZF,N/A,,0,0,0,,,N/A
V,Visa Inc.,1574150016.0,131362,122750,254112,0.0161,0.2619,N/A
VAC,Marriott Vacations Worldwide Corporation,35163900.0,2723,2349,5072,0.0144,0.4974,N/A
VAL,Valaris Limited,72410800.0,11221,5449,16670,0.023,0.4396,N/A
VALE,Vale S.A.,4270739968.0,1034212,789829,1824041,0.0427,0.4312,N/A
VATE,INNOVATE Corp.,129886000.0,195,0,195,0.0002,1.2314,N/A
VBF,Invesco Bond Fund,11418400.0,0,0,0,0.0,,N/A
VCV,Invesco California Value Municipal Income Trust,47890500.0,0,0,0,0.0,,N/A
VEEV,Veeva Systems Inc.,161652000.0,9707,9689,19396,0.012,0.3722,2024-08-28
VEL,"Velocity Financial, Inc.",32985800.0,10587,9918,20505,0.0622,0.2769,2024-08-01
VET,Vermilion Energy Inc.,160100000.0,60666,11706,72372,0.0452,0.4707,2024-07-31
VFC,V.F. Corporation,389031008.0,240500,243885,484385,0.1245,0.6236,2024-08-06
VGI,Virtus Global Multi-Sector Income Fund,11313100.0,0,0,0,0.0,,N/A
VGM,Invesco Trust for Investment Grade Municipals,54232000.0,0,0,0,0.0,,N/A
VGR,Vector Group Ltd.,157419008.0,3937,6467,10404,0.0066,0.4583,2024-08-01
VHC,VirnetX Holding Corporation,3680660.0,0,0,0,0.0,,2024-08-09
VHI,"Valhi, Inc.",28288500.0,0,0,0,0.0,,2024-08-01
VICI,VICI Properties Inc.,1043180032.0,24885,10634,35519,0.0034,0.2555,2024-07-31
VIK,Viking Holdings Ltd,303684000.0,4915,1426,6341,0.0021,0.532,No future earnings date available
VIPS,Vipshop Holdings Limited,542372992.0,26327,18304,44631,0.0082,0.5875,2024-08-16
VIST,"Vista Energy, S.A.B. de C.V.",96214704.0,5868,2872,8740,0.0091,0.5124,2024-10-22
VIV,Telefônica Brasil S.A.,1646940032.0,2694,681,3375,0.0002,0.925,2024-07-29
VKQ,Invesco Municipal Trust,55335500.0,0,0,0,0.0,,N/A
VLD,"Velo3D, Inc.",8487570.0,77391,11321,88712,1.0452,0.1454,2024-08-08
VLN,Valens Semiconductor Ltd.,105211000.0,2334,103,2437,0.0023,1.1782,2024-08-07
VLO,Valero Energy Corporation,326996000.0,113508,68525,182033,0.0557,0.3793,2024-07-25
VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",115145000.0,2002,53,2055,0.0018,0.7052,2024-10-22
VLT,Invesco High Income Trust II,6498040.0,0,0,0,0.0,,No future earnings date available
VLTO,Veralto Corporation,246847008.0,5635,1715,7350,0.003,0.2961,No future earnings date available
